"temperature", "age in days", "age-specific fecundity"
11.9,0.939258404,3.31842447
11.9,1.939114125,3.302553744
11.9,2.938969846,3.286683018
11.9,3.947482326,4.223055836
11.9,4.947338046,4.20718511
11.9,6.038089742,4.189871591
11.9,6.9658058,6.238638003
11.9,8.043572356,4.792959169
11.9,9.041985284,4.618381186
11.9,10.041841,4.60251046
11.9,11.12826432,4.10907517
11.9,12.03433848,3.777232723
11.9,13.13374693,4.712162747
11.9,14.1249459,3.744048478
11.9,15.10893089,1.982397922
11.9,16.00057712,0
11.9,17.00043284,0
11.9,18.09118453,0
11.9,19.18337902,0
11.9,20.09233877,0
16.6,0.995475113,5.152532477
16.6,1.900452489,6.596847176
16.6,2.895927602,4.492044957
16.6,3.981900452,5.934900015
16.6,4.977375566,6.57203328
16.6,5.972850679,2.53174719
16.6,6.968325792,3.007590133
16.6,7.963800905,2.999562108
16.6,8.868778281,3.476134871
16.6,10.04524887,2.982776237
16.6,11.04072398,2.974748212
16.6,12.0361991,2.160268574
16.6,13.03167421,1.990950226
16.6,14.02714932,1.821631879
16.6,15.02262443,2.136184499
16.6,16.10859729,2.772587943
16.6,17.01357466,1.152386513
16.6,18.00904977,0.176616552
16.6,19.09502262,0
16.6,20,0
19.6,0.995475113,5.071464483
19.6,1.990950226,7.603246427
19.6,2.986425339,7.595345831
19.6,3.981900452,7.428715076
19.6,4.977375566,7.42081448
19.6,5.972850679,7.254183725
19.6,6.968325792,7.405013287
19.6,8.054298643,6.285283344
19.6,9.049773756,5.166271637
19.6,9.954751131,2.619406737
19.6,11.04072398,2.452057746
19.6,12.0361991,1.650506356
19.6,13.03167421,1.166415284
19.6,14.11764706,0.681605976
19.6,15.02262443,0
19.6,16.10859729,0
19.6,17.1040724,0
19.6,18.09954751,0
19.6,19.09502262,0
19.6,20,0
23.1,0.933373051,3.671929302
23.1,1.99980141,4.973686824
23.1,2.980836064,4.960778473
23.1,3.954920068,4.026908946
23.1,4.933968821,3.750868831
23.1,5.99344653,4.131665177
23.1,6.975474134,4.250322709
23.1,7.959487638,4.632112005
23.1,8.940522292,4.619203654
23.1,9.979148049,2.237116473
23.1,10.95124615,1.040115182
23.1,12.00774501,1.026213881
23.1,12.99175851,1.408003177
23.1,13.97477907,1.658226591
23.1,14.98163042,5.066031179
23.1,15.92592593,0
23.1,16.98242478,0
23.1,17.96345944,0
23.1,19.01995830,0
23.1,20.00099295,0
26.7,0.964549035,7.186142814
26.7,2.036157964,8.638521361
26.7,3.00979699,7.158872841
26.7,4.075345925,7.811332189
26.7,4.961115039,4.732855267
26.7,5.940814059,4.053125947
26.7,6.991213009,2.705787294
26.7,7.973942026,2.426017574
26.7,8.945561054,0.67972932
26.7,10.00202,0.132309868
26.7,10.98575901,0
26.7,11.97050803,0
26.7,13.10776689,0
26.7,14.09150591,0
26.7,26.7,15.07726492,0
26.7,15.98626401,0
26.7,17.12251288,0
26.7,18.03050197,0
26.7,19.09201091,0
26.7,20.00202,0




