"temperature","age in days","young per female per day"
15,12.41031481,1.039434894
15,13.24739586,4.080326485
15,14.36801276,5.829288877
15,15.26596298,5.745124108
15,16.25963906,5.327537371
15,17.06134317,5.535128386
15,18.07270772,6.534191937
15,19.16783241,6.241511266
15,20.06318138,5.949015573
15,20.96581384,6.239846469
15,21.86272356,6.07234933
15,22.86368313,6.238089182
15,23.85163647,5.362174411
15,24.7443842,4.861347792
15,25.73597928,4.277096315
15,26.62560551,3.526272587
15,27.51835324,3.025445969
15,28.50786732,2.274529752
15,29.49998266,1.731944461
15,30.49261824,1.231025353
15,31.38692671,0.85519729
15,32.38268379,0.604275293
15,33.27959351,0.436778154
15,34.27587084,0.227522342
15,35.17434131,0.185023758
15,36.07281177,0.142525174
15,37.07169035,0.141600287
15,37.97016081,0.099101703
15,38.86915153,0.098269304
15,39.86855035,0.139010602
15,40.86690868,0.096419529
15,41.66653179,0.137345804
17.5,9.577833533,1.083451511
17.5,10.61525035,4.992691175
17.5,11.72630086,6.624195484
17.5,12.62299553,6.886440493
17.5,13.66041235,6.795680157
17.5,14.79273481,7.76917203
17.5,15.69270208,7.930184357
17.5,16.73175521,7.78880768
17.5,17.77735355,7.444965638
17.5,18.7084106,6.644267481
17.5,19.63946766,5.843569325
17.5,20.69324752,5.246645577
17.5,21.62594087,4.395331079
17.5,22.702629,3.089778554
17.5,23.51259954,2.034689648
17.5,24.5631068,1.538998582
17.5,25.48434602,1.041998473
17.5,26.53321697,0.596923748
17.5,27.44627468,0.353005345
17.5,28.4836915,0.262245009
17.5,29.55019817,0.160527496
17.5,30.53766227,0.170527132
17.5,31.52512636,0.180526769
17.5,32.60349624,0.156285226
17.5,33.59209665,0.131134625
20,7.380476428,1.354769282
20,9.124916708,5.109058804
20,9.48567383,6.223668166
20,10.49558554,6.570161586
20,11.51590871,6.748405797
20,12.4779277,7.868845577
20,13.58206314,8.081572547
20,14.58781026,8.495365651
20,15.55972014,8.067079793
20,16.50612194,6.662115609
20,17.55299434,5.022435449
20,18.51865734,4.695099117
20,19.52804848,3.661116109
20,20.58741463,1.819536898
20,21.52392554,1.963298351
20,22.56064676,1.182105614
20,23.53047435,0.787469599
20,24.49821964,0.426483425
20,25.53936573,0.268229219
20,26.57426495,0.210924538
20,27.52326962,0.15278694
20,28.64198109,0.129965017
20,29.58682117,0.139127103
20,30.53374354,0.114639347
20,31.65245502,0.091817425
22.5,6.494137584,3.349927218
22.5,7.511641549,8.269692866
22.5,8.658415591,9.165386036
22.5,9.552624146,6.797187199
22.5,10.52884859,7.691026412
22.5,11.56844072,7.396594802
22.5,12.46283033,6.625000905
22.5,13.51147498,6.160816321
22.5,14.4800953,3.997248032
22.5,15.43803365,3.633988253
22.5,16.45390816,2.184309437
22.5,17.41908852,1.685247279
22.5,18.39875292,0.914580361
22.5,19.36212278,0.449468798
22.5,20.37179631,0.316070769
22.5,21.44527506,0.186197191
22.5,22.45576332,0.126410283
22.5,23.34655706,0.088912707
22.5,24.47171065,0.101143676
25,6.80175742,7.471815598
25,8.069552803,8.546911445
25,9.31623502,8.840820129
25,10.51767474,7.460756321
25,11.76134079,7.643066838
25,12.96780745,6.448999973
25,14.06368133,5.329667015
25,15.28422344,4.656391592
25,16.4816416,3.127530229
25,17.70117832,2.417055417
25,18.80358723,1.539518486
25,20.1357275,0.828708544
25,21.36330733,0.415828843
25,22.59490871,0.151746696
25,23.63205113,0.100090187
25,24.80570301,0.122432162
25,26.13505054,0.118475771
25,27.30660786,0.06331902


