species,strain,temp,day,lastday,N,n_prev,tempf,type,r,r_period,tempcent,temp2
Lemna,2,3,0,NA,5,NA,3,vegetative,NA,NA,-17,289
Lemna,3,3,0,NA,5,NA,3,vegetative,NA,NA,-17,289
Lemna,5,3,0,NA,5,NA,3,vegetative,NA,NA,-17,289
Lemna,8,3,0,NA,5,NA,3,vegetative,NA,NA,-17,289
Lemna,6,3,0,NA,5,NA,3,vegetative,NA,NA,-17,289
Lemna,7,3,0,NA,5,NA,3,vegetative,NA,NA,-17,289
Lemna,2,15,0,NA,5,NA,15,vegetative,NA,NA,-5,25
Lemna,3,15,0,NA,5,NA,15,vegetative,NA,NA,-5,25
Lemna,5,15,0,NA,5,NA,15,vegetative,NA,NA,-5,25
Lemna,8,15,0,NA,5,NA,15,vegetative,NA,NA,-5,25
Lemna,6,15,0,NA,5,NA,15,vegetative,NA,NA,-5,25
Lemna,7,15,0,NA,5,NA,15,vegetative,NA,NA,-5,25
Lemna,2,20,0,NA,5,NA,20,vegetative,NA,NA,0,0
Lemna,3,20,0,NA,5,NA,20,vegetative,NA,NA,0,0
Lemna,5,20,0,NA,5,NA,20,vegetative,NA,NA,0,0
Lemna,6,20,0,NA,5,NA,20,vegetative,NA,NA,0,0
Lemna,8,20,0,NA,5,NA,20,vegetative,NA,NA,0,0
Lemna,7,20,0,NA,5,NA,20,vegetative,NA,NA,0,0
Lemna,2,25,0,NA,5,NA,25,vegetative,NA,NA,5,25
Lemna,3,25,0,NA,5,NA,25,vegetative,NA,NA,5,25
Lemna,5,25,0,NA,5,NA,25,vegetative,NA,NA,5,25
Lemna,6,25,0,NA,5,NA,25,vegetative,NA,NA,5,25
Lemna,8,25,0,NA,5,NA,25,vegetative,NA,NA,5,25
Lemna,7,25,0,NA,5,NA,25,vegetative,NA,NA,5,25
Lemna,2,30,0,NA,5,NA,30,vegetative,NA,NA,10,100
Lemna,3,30,0,NA,5,NA,30,vegetative,NA,NA,10,100
Lemna,5,30,0,NA,5,NA,30,vegetative,NA,NA,10,100
Lemna,6,30,0,NA,5,NA,30,vegetative,NA,NA,10,100
Lemna,8,30,0,NA,5,NA,30,vegetative,NA,NA,10,100
Lemna,7,30,0,NA,5,NA,30,vegetative,NA,NA,10,100
Lemna,2,37,0,NA,5,NA,37,vegetative,NA,NA,17,289
Lemna,3,37,0,NA,5,NA,37,vegetative,NA,NA,17,289
Lemna,5,37,0,NA,5,NA,37,vegetative,NA,NA,17,289
Lemna,8,37,0,NA,5,NA,37,vegetative,NA,NA,17,289
Lemna,6,37,0,NA,5,NA,37,vegetative,NA,NA,17,289
Lemna,7,37,0,NA,5,NA,37,vegetative,NA,NA,17,289
Lemna,2,3,8,8,5,5,3,vegetative,0,0,-17,289
Lemna,3,3,8,8,5,5,3,vegetative,0,0,-17,289
Lemna,5,3,8,8,5,5,3,vegetative,0,0,-17,289
Lemna,8,3,8,8,5,5,3,vegetative,0,0,-17,289
Lemna,6,3,8,8,5,5,3,vegetative,0,0,-17,289
Lemna,7,3,8,8,5,5,3,vegetative,0,0,-17,289
Lemna,2,15,8,8,12,5,15,vegetative,0.109433592,0.109433592,-5,25
Lemna,3,15,8,8,12,5,15,vegetative,0.109433592,0.109433592,-5,25
Lemna,5,15,8,8,14,5,15,vegetative,0.128702427,0.128702427,-5,25
Lemna,8,15,8,8,15,5,15,vegetative,0.137326536,0.137326536,-5,25
Lemna,6,15,8,8,12,5,15,vegetative,0.109433592,0.109433592,-5,25
Lemna,7,15,8,8,13,5,15,vegetative,0.119438931,0.119438931,-5,25
Lemna,2,20,8,8,20,5,20,vegetative,0.173286795,0.173286795,0,0
Lemna,3,20,8,8,21,5,20,vegetative,0.179385566,0.179385566,0,0
Lemna,5,20,8,8,21,5,20,vegetative,0.179385566,0.179385566,0,0
Lemna,6,20,8,8,19,5,20,vegetative,0.166875133,0.166875133,0,0
Lemna,8,20,8,8,22,5,20,vegetative,0.185200568,0.185200568,0,0
Lemna,7,20,8,8,24,5,20,vegetative,0.19607699,0.19607699,0,0
Lemna,2,25,8,8,24,5,25,vegetative,0.19607699,0.19607699,5,25
Lemna,3,25,8,8,25,5,25,vegetative,0.201179739,0.201179739,5,25
Lemna,5,25,8,8,30,5,25,vegetative,0.223969934,0.223969934,5,25
Lemna,6,25,8,8,32,5,25,vegetative,0.232037249,0.232037249,5,25
Lemna,8,25,8,8,38,5,25,vegetative,0.253518531,0.253518531,5,25
Lemna,7,25,8,8,29,5,25,vegetative,0.21973224,0.21973224,5,25
Lemna,2,30,8,8,28,5,30,vegetative,0.215345825,0.215345825,10,100
Lemna,3,30,8,8,34,5,30,vegetative,0.239615327,0.239615327,10,100
Lemna,5,30,8,8,29,5,30,vegetative,0.21973224,0.21973224,10,100
Lemna,6,30,8,8,40,5,30,vegetative,0.259930193,0.259930193,10,100
Lemna,8,30,8,8,38,5,30,vegetative,0.253518531,0.253518531,10,100
Lemna,7,30,8,8,26,5,30,vegetative,0.206082328,0.206082328,10,100
Lemna,2,37,8,8,5,5,37,vegetative,0,0,17,289
